Temperature (C),Weight % (%)
585.22,96.741
586.22,96.739
587.22,96.735
588.22,96.734
589.22,96.732
590.22,96.73
591.22,96.73
592.22,96.728
593.22,96.728
594.22,96.726
595.22,96.722
596.22,96.722
597.22,96.722
598.22,96.722
599.22,96.722
600.22,96.722
601.22,96.718
602.22,96.715
603.22,96.717
604.22,96.711
605.22,96.709
606.22,96.711
607.22,96.702
608.22,96.703
609.22,96.705
610.22,96.704
611.22,96.703
612.22,96.7
613.22,96.698
614.22,96.696
615.22,96.692
616.22,96.694
617.22,96.694
618.22,96.692
619.22,96.694
620.22,96.69
621.22,96.69
622.22,96.689
623.22,96.69
624.22,96.688
625.22,96.686
626.22,96.683
627.22,96.679
628.22,96.675
629.22,96.675
630.22,96.673
631.22,96.673
632.22,96.671
633.22,96.671
634.22,96.671
635.22,96.669
636.22,96.669
637.22,96.668
638.22,96.666
639.22,96.664
640.22,96.662
641.22,96.666
642.22,96.664
643.22,96.66
644.22,96.656
645.22,96.653
646.22,96.651
647.22,96.654
648.22,96.654
649.22,96.654
650.22,96.653
651.22,96.653
652.22,96.647
653.22,96.641
654.22,96.641
655.22,96.637
656.22,96.632
657.22,96.632
658.22,96.632
659.22,96.632
660.22,96.63
661.22,96.628
662.22,96.628
663.22,96.626
664.22,96.624
665.22,96.622
666.22,96.624
667.22,96.622
668.22,96.615
669.22,96.609
670.22,96.607
671.22,96.607
672.22,96.611
673.22,96.611
674.22,96.617
675.22,96.615
676.22,96.609
677.22,96.594
678.22,96.596
679.22,96.592
680.22,96.596
681.22,96.594
682.22,96.594
683.22,96.594
684.22,96.59
685.22,96.588
686.22,96.585
687.22,96.583
688.22,96.581
689.22,96.579
690.22,96.581
691.22,96.577
692.22,96.577
693.22,96.575
694.22,96.573
695.22,96.572
696.22,96.57
697.22,96.57
698.22,96.566
699.22,96.566
700.22,96.564
701.22,96.562
702.22,96.558
703.22,96.558
704.22,96.556
705.22,96.555
706.22,96.553
707.22,96.552
708.22,96.549
709.22,96.545
710.22,96.54
711.22,96.536
712.22,96.532
713.22,96.53
714.22,96.532
715.22,96.532
716.22,96.53
717.22,96.526
718.22,96.523
719.22,96.521
720.22,96.519
721.22,96.517
722.22,96.513
723.22,96.511
724.22,96.509
725.22,96.506
726.22,96.506
727.22,96.502
728.22,96.498
729.22,96.498
730.22,96.496
731.22,96.496
732.22,96.494
733.22,96.494
734.22,96.494
735.22,96.494
736.22,96.492
737.22,96.492
738.22,96.489
739.22,96.485
740.22,96.481
741.22,96.475
742.22,96.474
743.22,96.47
744.22,96.468
745.22,96.466
746.22,96.462
747.22,96.46
748.22,96.459
749.22,96.457
750.22,96.453
751.22,96.449
752.22,96.445
753.22,96.443
754.22,96.442
755.22,96.438
756.22,96.436
757.22,96.432
758.22,96.43
759.22,96.428
760.22,96.426
761.22,96.421
762.22,96.418
763.22,96.415
764.22,96.411
765.22,96.41
766.22,96.41
767.22,96.404
768.22,96.4
769.22,96.396
770.22,96.393
771.22,96.394
772.22,96.391
773.22,96.387
774.22,96.379
775.22,96.372
776.22,96.37
777.22,96.368
778.22,96.364
779.22,96.362
780.22,96.361
781.22,96.357
782.22,96.355
783.22,96.351
784.22,96.347
785.22,96.342
786.22,96.339
787.22,96.334
788.22,96.329
789.22,96.325
